"Recording Date:","4/26/2023 9:44:55 AM","Media: ","Call","Questionnaire Name:","Call Monitoring Scorecard v3","Passed / Failed:",,"Recorded User ID:","52302066","Form Score:","100.00","Percentile:","100.00","Rank:","A","Scored User ID:","52302066",,"Critical Score:",,"Non-Critical Score:",,"Question Group:","Opening","Score","Importance","Question Text","Question Answer","N/A","Min","Max","Answer","Required","Was the CSR ready and prepared for the call? Did the CSR thank the customer for calling SunPass, identify their first name, and ask how may I help you today? (adhere to inbound or CTI script)","Yes",0.00,5.00,5.00,"Comments:",,"Print Date: Thursday, May 4, 2023   6:23:00PM","Genesys","Page 1 of 1"
"Recording Date:","4/26/2023 9:44:55 AM","Media: ","Call","Questionnaire Name:","Call Monitoring Scorecard v3","Passed / Failed:",,"Recorded User ID:","52302066","Form Score:","100.00","Percentile:","100.00","Rank:","A","Scored User ID:","52302066",,"Critical Score:",,"Non-Critical Score:",,"Question Group:","Opening","Score","Importance","Question Text","Question Answer","N/A","Min","Max","Answer","Required","Did the CSR authenticate the account with the account holder/authorized user appropriately and verify information (demographic info/Security question)?","Yes",0.00,10.00,10.00,"Comments:",,"Print Date: Thursday, May 4, 2023   6:23:00PM","Genesys","Page 1 of 1"
"Recording Date:","4/26/2023 9:44:55 AM","Media: ","Call","Questionnaire Name:","Call Monitoring Scorecard v3","Passed / Failed:",,"Recorded User ID:","52302066","Form Score:","100.00","Percentile:","100.00","Rank:","A","Scored User ID:","52302066",,"Critical Score:",,"Non-Critical Score:",,"Question Group:","CSR Interaction / Telephone Etiquette / Call Handling","Score","Importance","Question Text","Question Answer","N/A","Min","Max","Answer","Required","Was the CSR friendly, positive, professional in their tone and demeanor throughout the call?","Yes",0.00,5.00,5.00,"Comments:",,"Print Date: Thursday, May 4, 2023   6:23:00PM","Genesys","Page 1 of 1"
"Recording Date:","4/26/2023 9:44:55 AM","Media: ","Call","Questionnaire Name:","Call Monitoring Scorecard v3","Passed / Failed:",,"Recorded User ID:","52302066","Form Score:","100.00","Percentile:","100.00","Rank:","A","Scored User ID:","52302066",,"Critical Score:",,"Non-Critical Score:",,"Question Group:","CSR Interaction / Telephone Etiquette / Call Handling","Score","Importance","Question Text","Question Answer","N/A","Min","Max","Answer","Required","Did the CSR refrain from using slang or ETC acronyms?","Yes",0.00,5.00,5.00,"Comments:",,"Print Date: Thursday, May 4, 2023   6:23:00PM","Genesys","Page 1 of 1"
"Recording Date:","4/26/2023 9:44:55 AM","Media: ","Call","Questionnaire Name:","Call Monitoring Scorecard v3","Passed / Failed:",,"Recorded User ID:","52302066","Form Score:","100.00","Percentile:","100.00","Rank:","A","Scored User ID:","52302066",,"Critical Score:",,"Non-Critical Score:",,"Question Group:","CSR Interaction / Telephone Etiquette / Call Handling","Score","Importance","Question Text","Question Answer","N/A","Min","Max","Answer","Required","Did the CSR use a definitive assurance statement (willingness to assist) / express ownership and control throughout the call? (""I can assist/help you with that?"")","Yes",0.00,5.00,5.00,"Comments:",,"Print Date: Thursday, May 4, 2023   6:23:00PM","Genesys","Page 1 of 1"
"Recording Date:","4/26/2023 9:44:55 AM","Media: ","Call","Questionnaire Name:","Call Monitoring Scorecard v3","Passed / Failed:",,"Recorded User ID:","52302066","Form Score:","100.00","Percentile:","100.00","Rank:","A","Scored User ID:","52302066",,"Critical Score:",,"Non-Critical Score:",,"Question Group:","CSR Interaction / Telephone Etiquette / Call Handling","Score","Importance","Question Text","Question Answer","N/A","Min","Max","Answer","Required","Did the CSR speak clearly and concisely in a way that was understood by the customer?","Yes",0.00,5.00,5.00,"Comments:",,"Print Date: Thursday, May 4, 2023   6:23:00PM","Genesys","Page 1 of 1"
"Recording Date:","4/26/2023 9:44:55 AM","Media: ","Call","Questionnaire Name:","Call Monitoring Scorecard v3","Passed / Failed:",,"Recorded User ID:","52302066","Form Score:","100.00","Percentile:","100.00","Rank:","A","Scored User ID:","52302066",,"Critical Score:",,"Non-Critical Score:",,"Question Group:","CSR Interaction / Telephone Etiquette / Call Handling","Score","Importance","Question Text","Question Answer","N/A","Min","Max","Answer","Required","Did the CSR demonstrate courtesy throughout the call by using statements such as ""May I/Please/Thank You/My Pleasure/You're Welcome?""","Yes",0.00,5.00,5.00,"Comments:",,"Print Date: Thursday, May 4, 2023   6:23:00PM","Genesys","Page 1 of 1"
"Recording Date:","4/26/2023 9:44:55 AM","Media: ","Call","Questionnaire Name:","Call Monitoring Scorecard v3","Passed / Failed:",,"Recorded User ID:","52302066","Form Score:","100.00","Percentile:","100.00","Rank:","A","Scored User ID:","52302066",,"Critical Score:",,"Non-Critical Score:",,"Question Group:","CSR Interaction / Telephone Etiquette / Call Handling","Score","Importance","Question Text","Question Answer","N/A","Min","Max","Answer","Required","Did the CSR follow call hold and/or transfer guidelines, adhere to mute, silence, and dead air expectations?","Yes",0.00,5.00,5.00,"Comments:",,"Print Date: Thursday, May 4, 2023   6:23:00PM","Genesys","Page 1 of 1"
"Recording Date:","4/26/2023 9:44:55 AM","Media: ","Call","Questionnaire Name:","Call Monitoring Scorecard v3","Passed / Failed:",,"Recorded User ID:","52302066","Form Score:","100.00","Percentile:","100.00","Rank:","A","Scored User ID:","52302066",,"Critical Score:",,"Non-Critical Score:",,"Question Group:","CSR Interaction / Telephone Etiquette / Call Handling","Score","Importance","Question Text","Question Answer","N/A","Min","Max","Answer","Required","Did the CSR paraphrase the customer's concern to demonstrate clarity, active listening (without interruption) and empathy (if needed)?","Yes",0.00,5.00,5.00,"Comments:",,"Print Date: Thursday, May 4, 2023   6:23:00PM","Genesys","Page 1 of 1"
"Recording Date:","4/26/2023 9:44:55 AM","Media: ","Call","Questionnaire Name:","Call Monitoring Scorecard v3","Passed / Failed:",,"Recorded User ID:","52302066","Form Score:","100.00","Percentile:","100.00","Rank:","A","Scored User ID:","52302066",,"Critical Score:",,"Non-Critical Score:",,"Question Group:","Knowledge / Information Handling","Score","Importance","Question Text","Question Answer","N/A","Min","Max","Answer","Required","Did the CSR ask appropriate probing questions to better assist / resolve the customer's issue?","Yes",0.00,5.00,5.00,"Comments:",,"Print Date: Thursday, May 4, 2023   6:23:00PM","Genesys","Page 1 of 1"
